
Дата,Кал ( ккал),Жир( г),Н/жир( г),Углев( г),Клетч( г),Сахар( г),Белк( г),Натри( мг),Холес( мг),Калий( мг)

"вторник, февраля 18, 2025",2229,"78,44","6,289","235,74","18,67","20,41","132,02",1911,544,1157
 Завтрак,499,"8,72","0,12","83,56","11,12","14,4","18,2",,,600
"  Домик в деревне Молоко 1,5%",88,3,,"9,4",,,6,,,600
   200 мл
  Магнит Банан,107,"0,12","0,12","26,16","3,12","14,4","1,8",,,
   120 г
  Ясно Солнышко Овсяные Хлопья #2,304,"5,6",,48,8,,"10,4",,,
   80 г
 Обед,689,"6,43","2,082",117,"7,55","5,18","35,46",1393,88,412
  Котлеты из Индейки на Пару,179,"4,93","2,082",9,"0,8","5,18","23,46",1393,88,412
   150 г
  Селяночка Рис Длиннозерный Шлифованный,510,"1,5",,108,"6,75",,12,,,
   150 г
 Ужин,654,"50,69","4,087","0,93",0,"0,83","45,56",518,456,145
  Жареное Яйцо,194,"14,69","4,087","0,93",0,"0,83","13,56",518,456,145
   100 г
  Инди Фарш Классический,460,36,,0,,,32,,,
   200 г
 Перекус/Другое,387,"12,6",,"34,25",,,"32,8",,,
  Exponenta Напиток Кисломолочный Обезжиренный Клубника-Арбуз,150,0,,"6,25",,,30,,,
   2 1/2 x 100r (250 г)
  Nestle Goodmix Popcorn Taste,237,"12,6",,28,,,"2,8",,,
   2 x 1 порция (45 г)

"среда, февраля 19, 2025",2000,"69,4","14,369","247,32","21,59","30,51","89,73",836,53,847
 Завтрак,499,"8,72","0,12","83,56","11,12","14,4","18,2",,,600
  Ясно Солнышко Овсяные Хлопья #2,304,"5,6",,48,8,,"10,4",,,
   80 г
  Магнит Банан,107,"0,12","0,12","26,16","3,12","14,4","1,8",,,
   120 г
"  Домик в деревне Молоко 1,5%",88,3,,"9,4",,,6,,,600
   200 мл
 Обед,501,"4,28","1,249","86,91","7,32","3,11","27,83",836,53,247
  Котлеты из Индейки на Пару,108,"2,96","1,249","5,4","0,5","3,11","14,08",836,53,247
   90 г
  Макфа Гречневые Макароны,393,"1,32",,"81,51","6,82",,"13,75",,,
   110 г
 Ужин,698,"36,7",,"50,4","3,15",,"37,6",,,
  Инди Фарш Классический,460,36,,0,,,32,,,
   200 г
  Селяночка Рис Длиннозерный Шлифованный,238,"0,7",,"50,4","3,15",,"5,6",,,
   70 г
 Перекус/Другое,302,"19,7",13,"26,45",,13,"6,1",,,
  Победа Конфеты Вафельные в Молочном Шоколаде без Сахара,98,"6,2",,"9,4",,0,"2,4",,,
   20 г
  Ростагроэкспорт Сырок Творожный Глазированный с Кокосом,204,"13,5",13,"17,05",,13,"3,7",,,
   50 г

"четверг, февраля 20, 2025",2100,"69,82","3,163","239,35","9,15","13,3","129,66",1,0,1732
 Завтрак,471,"5,26","0,1","91,2","2,6",12,"15,82",,,600
"  Домик в деревне Молоко 1,5%",88,3,,"9,4",,,6,,,600
   200 мл
  Магнит Банан,89,"0,1","0,1","21,8","2,6",12,"1,5",,,
   100 г
  Maxi Vita Хлопья Гречневые,294,"2,16",,60,,0,"8,32",,,
   80 г
 Обед,784,"17,26",,"90,89",,,"64,62",,,912
  Пава Пава Фарш Нежный Охлажденный,210,"10,5",,0,,,27,,,
   1 1/2 x 100g (150 г)
  Селяночка Рис Круглозёрный Шлифованный,330,"0,5",,75,,,"6,5",,,
   100 г
"  Домик в деревне Молоко 1,5%",134,"4,56",,"14,29",,,"9,12",,,912
   304 мл
  Bombbar PRO Whey Vanilla Plombir,110,"1,7",,"1,6",,,22,,,
   1 порция (30 г)
 Ужин,518,"14,7",,"50,4","3,15",,"41,6",,,
  Селяночка Рис Длиннозерный Шлифованный,238,"0,7",,"50,4","3,15",,"5,6",,,
   70 г
  Пава Пава Фарш Нежный Охлажденный,280,14,,0,,,36,,,
   2 x 100g (200 г)
