Дата,Кал ( ккал),Жир( г),Н/жир( г),Углев( г),Клетч( г),Сахар( г),Белк( г),Натри( мг),Холес( мг),Калий( мг)
"вторник, февраля 18, 2025",2229.0,"78,44","6,289","235,74","18,67","20,41","132,02",1911,544.0,1157
"среда, февраля 19, 2025",2000.0,"69,4","14,369","247,32","21,59","30,51","89,73",836,53.0,847
"четверг, февраля 20, 2025",2100.0,"69,82","3,163","239,35","9,15","13,3","129,66",1,0.0,1732
"пятница, февраля 21, 2025",2298.0,"65,69","12,327","271,39","15,86","18,14","141,39","2164,35",1057.0,1274
"суббота, февраля 22, 2025",2268.0,"60,31","10,478","276,25","17,96","17,57","150,69","2115,35",999.0,1021
"воскресенье, февраля 23, 2025",2228.0,"58,26","1,85","286,93","17,26","25,2","130,65","960,35",,
"понедельник, февраля 24, 2025",2187.0,60,"9,472","244,71","10,52","28,33","155,13","1338,35",933.0,716
"вторник, февраля 25, 2025",2065.0,"68,19","10,705","226,53","14,1","46,29","133,09","2099,35",999.0,909
"среда, февраля 26, 2025",1937.0,"82,14","12,74","149,63","3,7","16,33","145,63",1166,1016.0,1639
"четверг, февраля 27, 2025",2416.0,"58,17","18,697","313,71","40,16","71,52","150,54","729,36",315.0,1513
"суббота, февраля 22, 2025",2268.0,"60,31","10,478","276,25","17,96","17,57","150,69","2115,35",999.0,1021
"пятница, февраля 28, 2025",2383.0,"73,34","14,604","274,13","15,76","40,07","151,5","3203,35",1143.0,2001
"суббота, марта 1, 2025",1619.0,"39,25","0,255","223,82","24,96","54,51","90,58","202,1",0.0,"528,8"
"воскресенье, марта 2, 2025",2214.0,"57,69","10,365","265,27","17,3","6,11","141,58",1134,970.0,910
"понедельник, марта 3, 2025",2355.0,"60,7","7,711","277,37","15,09","30,29","173,28","1020,26",794.0,1003
"вторник, марта 4, 2025",2200.0,"66,18","11,448","215,97","10,91","23,38","177,96","2405,82",1139.0,1889
"среда, марта 5, 2025",2269.0,"60,48","1,104","290,77","35,46","31,5","137,73","565,5",0.0,738
"четверг, марта 6, 2025",2611.0,"61,73","3,624","338,67","54,07","48,84","173,84","1708,02",145.0,1513
"пятница, марта 7, 2025",1772.0,"58,8","10,813","187,95","20,7","20,81","121,86","2459,33",1040.0,922
"суббота, марта 8, 2025",2053.0,"67,07","0,15","237,86","5,1","34,8","123,19","701,5",,537
"воскресенье, марта 9, 2025",2268.0,"68,91","2,645","224,55","4,3",18,"186,44","100,2",87.0,919
"понедельник, марта 10, 2025",2170.0,"75,48","15,879","186,69","3,15","6,79","178,3","2298,48",1201.0,1761
"вторник, марта 11, 2025",1716.0,"41,05","12,522","259,98","10,6","30,5","76,53","1495,8",83.0,780
"среда, марта 12, 2025",2289.0,"67,11","12,919","253,57","10,49","24,31","161,82","2525,68",1111.0,1535
"четверг, марта 13, 2025",1945.0,"59,62","8,499","217,78","2,7","21,88","135,34","1176,5",767.0,1235
"пятница, марта 14, 2025",2102.0,"64,53","8,324","236,01","1,5","19,66","140,22","1037,5",912.0,827
"суббота, марта 15, 2025",2088.0,"67,93","9,264","238,29","11,42","23,14","131,19","2020,37",821.0,861
"воскресенье, марта 16, 2025",2264.0,"60,86","10,742","269,71","14,54","49,9","143,68","2098,39",999.0,2176
"понедельник, марта 17, 2025",2244.0,"66,02","11,062","274,64","32,08","36,45","131,68","2231,85",1086.0,2195
"вторник, марта 18, 2025",1944.0,"50,83","10,628","236,31","11,2","28,46","136,79","2136,65",999.0,"2323,4"
"среда, марта 19, 2025",2333.0,"55,33","15,065","305,79","14,4","51,57","157,04","2298,95",1081.0,"2550,8"
"четверг, марта 20, 2025",2110.0,"55,1","10,771","241,61","32,2","46,21","153,39","845,8",766.0,"1896,4"
"пятница, марта 21, 2025",2208.0,"76,75","10,604","242,94","30,5","31,46","124,99","2542,75",970.0,"1046,2"
"суббота, марта 22, 2025",2604.0,"57,86","13,55","384,13",14,"200,62","133,16",1718,586.0,"829,6"
"воскресенье, марта 23, 2025",1826.0,"56,25","12,26","211,57","12,86","23,87","117,84","2446,72",1045.0,"2175,2"
"понедельник, марта 24, 2025",2393.0,"68,38","11,862","288,19","12,1","47,84","153,78","2226,65",1115.0,"2003,4"
"вторник, марта 25, 2025",1950.0,"56,28","8,753","222,54","4,7","19,62","137,24","950,65",829.0,"1628,4"
"среда, марта 26, 2025",2184.0,"64,18","8,634","235,2","1,3","17,26","164,04","1103,06",970.0,"1314,4"
"четверг, марта 27, 2025",1859.0,"63,47","11,58","195,78","6,5","24,95","146,15","3399,48",1000.0,"1735,4"
"пятница, марта 28, 2025",2178.0,"88,14","11,22","209,51","2,1","13,4","154,89",2774,1025.0,1490
"суббота, марта 29, 2025",2600.0,"107,33","1,968","184,74","30,1","20,04","170,9",962,0.0,"342,5"
"воскресенье, марта 30, 2025",1742.0,"57,08","11,523","175,95","6,7","11,82","127,36",3772,1023.0,1476
"понедельник, марта 31, 2025",2102.0,"62,24","10,48","218,53","7,86","13,89","162,66",3481,887.0,1847
